folder,source_file,direction,llm_sources,total_flowlets,train_size,test_size,feature_dim,train_class_distribution,test_class_distribution,kept_llm,kept_non_llm,skipped_llm_source,skipped_llm_direction,skipped_other,input_sources,model,accuracy,precision,recall,f1,cm_tn,cm_fp,cm_fn,cm_tp,non_llm_precision,non_llm_recall,non_llm_f1,non_llm_support,llm_precision,llm_recall,llm_f1,llm_support,macro_precision,macro_recall,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support
claude,bidirectional_models,both,claude,85633,67313,18320,7,"[59039, 8274]","[16496, 1824]",10098,75535,23742,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9434497816593886,0.7732316227461858,0.6112938596491229,0.6827924066135946,16169,327,709,1115,0.9579926531579571,0.9801770126091174,0.9689578713968958,16496.0,0.7732316227461858,0.6112938596491229,0.6827924066135946,1824.0,0.8656121379520715,0.7957354361291201,0.8258751390052452,18320.0,0.939597231789449,0.9434497816593886,0.940466288003624,18320.0
claude,incoming_models,incoming,claude,81955,66202,15753,7,"[60832, 5370]","[14703, 1050]",6420,75535,23742,3678,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9477559829873675,0.6727549467275494,0.42095238095238097,0.517867603983597,14488,215,608,442,0.9597244303126656,0.985377133918248,0.9723816235444143,14703.0,0.6727549467275494,0.42095238095238097,0.517867603983597,1050.0,0.8162396885201075,0.7031647574353145,0.7451246137640056,15753.0,0.9405967747699517,0.9477559829873675,0.9420864594144797,15753.0
claude,incoming_models,incoming,claude,81955,66202,15753,7,"[60832, 5370]","[14703, 1050]",6420,75535,23742,3678,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.9311242303053386,0.35772357723577236,0.0419047619047619,0.07502131287297528,14624,79,1006,44,0.9356365962891875,0.9946269468815888,0.9642303761579798,14703.0,0.35772357723577236,0.0419047619047619,0.07502131287297528,1050.0,0.6466800867624799,0.5182658543931754,0.5196258445154776,15753.0,0.8971163988660881,0.9311242303053386,0.9049610613322796,15753.0
claude,incoming_models,incoming,claude,81955,66202,15753,7,"[60832, 5370]","[14703, 1050]",6420,75535,23742,3678,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9437567447470323,0.6184971098265896,0.4076190476190476,0.49138920780711826,14439,264,622,428,0.9587012814554147,0.9820444807182208,0.9702324956323075,14703.0,0.6184971098265896,0.4076190476190476,0.49138920780711826,1050.0,0.7885991956410021,0.6948317641686342,0.7308108517197129,15753.0,0.9360253225770889,0.9437567447470323,0.9383156891690022,15753.0
claude,outgoing_models,outgoing,claude,79213,63509,15704,7,"[60527, 2982]","[15008, 696]",3678,75535,23742,6420,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9741467142129394,0.8625,0.4956896551724138,0.6295620437956204,14953,55,351,345,0.9770648196549921,0.9963352878464818,0.9866059646344681,15008.0,0.8625,0.4956896551724138,0.6295620437956204,696.0,0.919782409827496,0.7460124715094478,0.8080840042150443,15704.0,0.9719873161858202,0.9741467142129394,0.9707818071647892,15704.0
claude,outgoing_models,outgoing,claude,79213,63509,15704,7,"[60527, 2982]","[15008, 696]",3678,75535,23742,6420,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.9597554763117677,0.7622950819672131,0.1336206896551724,0.2273838630806846,14979,29,603,93,0.9613015017327686,0.998067697228145,0.97933965348153,15008.0,0.7622950819672131,0.1336206896551724,0.2273838630806846,696.0,0.8617982918499909,0.5658441934416587,0.6033617582811073,15704.0,0.9524815534293538,0.9597554763117677,0.9460130341412989,15704.0
claude,outgoing_models,outgoing,claude,79213,63509,15704,7,"[60527, 2982]","[15008, 696]",3678,75535,23742,6420,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9703260315843097,0.7613636363636364,0.4813218390804598,0.5897887323943662,14903,105,361,335,0.9763495807127882,0.9930037313432836,0.9846062367864693,15008.0,0.7613636363636364,0.4813218390804598,0.5897887323943662,696.0,0.8688566085382123,0.7371627852118716,0.7871974845904177,15704.0,0.9668214211822858,0.9703260315843097,0.9671079571725554,15704.0
gemini,bidirectional_models,both,gemini,109375,85858,23517,7,"[61303, 24555]","[14232, 9285]",33840,75535,0,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9152527958498108,0.9139418710263397,0.8669897684437264,0.8898469021168408,13474,758,1235,8050,0.9160377999864029,0.9467397414277684,0.9311357589578798,14232.0,0.9139418710263397,0.8669897684437264,0.8898469021168408,9285.0,0.9149898355063713,0.9068647549357474,0.9104913305373603,23517.0,0.9152102837048114,0.9152527958498108,0.9148340607919128,23517.0
gemini,bidirectional_models,both,gemini,109375,85858,23517,7,"[61303, 24555]","[14232, 9285]",33840,75535,0,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.8006548454309649,0.8522605363984674,0.5989229940764674,0.7034788108791904,13268,964,3724,5561,0.7808380414312618,0.932265317594154,0.8498590827568537,14232.0,0.8522605363984674,0.5989229940764674,0.7034788108791904,9285.0,0.8165492889148647,0.7655941558353108,0.7766689468180221,23517.0,0.809037125743483,0.8006548454309649,0.792065111400639,23517.0
gemini,bidirectional_models,both,gemini,109375,85858,23517,7,"[61303, 24555]","[14232, 9285]",33840,75535,0,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9094272228600587,0.9051987767584098,0.8607431340872375,0.8824113945014905,13395,837,1293,7992,0.911968954248366,0.9411888701517707,0.9263485477178424,14232.0,0.9051987767584098,0.8607431340872375,0.8824113945014905,9285.0,0.9085838655033879,0.9009660021195041,0.9043799711096665,23517.0,0.9092959475725891,0.9094272228600587,0.9090012471432016,23517.0
gemini,incoming_models,incoming,gemini,94848,74845,20003,7,"[60374, 14471]","[15161, 4842]",19313,75535,0,14527,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9085637154426836,0.8470398525685326,0.7593969434118133,0.8008276162474137,14497,664,1165,3677,0.9256161409781637,0.9562034166611701,0.9406611945625021,15161.0,0.8470398525685326,0.7593969434118133,0.8008276162474137,4842.0,0.8863279967733482,0.8578001800364917,0.8707444054049579,20003.0,0.9065956746241449,0.9085637154426836,0.9068125625472214,20003.0
gemini,incoming_models,incoming,gemini,94848,74845,20003,7,"[60374, 14471]","[15161, 4842]",19313,75535,0,14527,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.8428735689646553,0.8863119599818099,0.40251961999173896,0.5536145433887232,14911,250,2893,1949,0.8375084250730173,0.9835103225380911,0.9046564538146519,15161.0,0.8863119599818099,0.40251961999173896,0.5536145433887232,4842.0,0.8619101925274135,0.6930149712649151,0.7291354986016876,20003.0,0.8493219888398709,0.8428735689646553,0.8196819534755854,20003.0
gemini,incoming_models,incoming,gemini,94848,74845,20003,7,"[60374, 14471]","[15161, 4842]",19313,75535,0,14527,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9270109483577463,0.8470853858784894,0.852333746385791,0.8497014618077002,14416,745,715,4127,0.9527460181085189,0.9508607611635116,0.9518024560940183,15161.0,0.8470853858784894,0.852333746385791,0.8497014618077002,4842.0,0.8999157019935041,0.9015972537746513,0.9007519589508592,20003.0,0.9271694155360146,0.9270109483577463,0.9270875126188219,20003.0
